Telepules,min_votes,Korzet_count,entropy,p
Bár,46,2,0.6931471805599453,1.0
Bárdudvarnok,120,2,0.6931471805599453,1.0
Bárna,123,2,0.6931471805599453,1.0
Bársonyos,80,2,0.0,0.1008
Báránd,105,6,1.5607104090414063,0.8472
Báta,41,4,1.0397207708399179,0.5047
Bátaapáti,30,2,0.6931471805599453,1.0
Bátaszék,125,10,2.0253262207700677,0.9825
Bátmonostor,68,4,1.0397207708399179,0.5047
Bátonyterenye,57,30,1.9852314110718627,0.0448
Bátor,59,2,0.6931471805599453,1.0
Bátorliget,90,2,0.6931471805599453,1.0
Bátya,110,4,1.3862943611198906,1.0
Bázakerettye,19,4,1.0397207708399179,0.5047
Béb,38,2,0.6931471805599453,1.0
Békás,31,2,0.6931471805599453,1.0
Békés,46,32,2.125485944664054,0.343
Békéscsaba,19,136,2.251548584511118,0.1345
Békésszentandrás,9,14,2.1065773332321154,0.8998
Békéssámson,86,6,1.5607104090414063,0.8472
Bélapátfalva,91,6,1.2424533248940002,0.1689
Bélavár,43,2,0.6931471805599453,1.0
Bélmegyer,122,2,0.6931471805599453,1.0
Bénye,171,2,0.6931471805599453,1.0
Bér,37,2,0.6931471805599453,1.0
Bérbaltavár,49,2,0.0,0.1008
Bócsa,53,4,1.0397207708399179,0.5047
Bódvalenke,3,2,0.6931471805599453,1.0
Bódvarákó,19,2,0.6931471805599453,1.0
Bódvaszilas,200,2,0.6931471805599453,1.0
Bókaháza,16,2,0.6931471805599453,1.0
Bóly,60,8,1.7328679513998633,0.8178
Bózsva,30,2,0.6931471805599453,1.0
Böde,50,2,0.6931471805599453,1.0
Bödeháza,3,2,0.6931471805599453,1.0
Bögöt,65,2,0.6931471805599453,1.0
Bögöte,32,2,0.6931471805599453,1.0
Böhönye,139,4,1.0397207708399179,0.5047
Bököny,40,8,1.559581156259877,0.418
Bölcske,93,6,1.3296613488547582,0.4055
Börcs,104,2,0.6931471805599453,1.0
Börzönce,7,2,0.6931471805599453,1.0
Búcsúszentlászló,101,2,0.0,0.1008
Bük,89,6,1.7917594692280547,1.0
Bükkaranyos,227,2,0.6931471805599453,1.0
Bükkmogyorósd,20,2,0.6931471805599453,1.0
Bükkszenterzsébet,200,2,0.6931471805599453,1.0
Bükkszentkereszt,179,2,0.6931471805599453,1.0
Bükkszentmárton,37,2,0.6931471805599453,1.0
Bükkszék,138,2,0.6931471805599453,1.0
Bükkzsérc,181,2,0.0,0.1008
Bükkábrány,115,4,1.0397207708399179,0.5047
Bükkösd,30,4,1.0397207708399179,0.5047
Bürüs,5,2,0.6931471805599453,1.0
Büssü,23,2,0.6931471805599453,1.0
Büttös,19,2,0.6931471805599453,1.0
Bő,62,2,0.6931471805599453,1.0
Bőcs,156,6,1.5607104090414063,0.8472
Bőny,37,6,1.5607104090414063,0.8472
Bőszénfa,66,2,0.6931471805599453,1.0
Bősárkány,59,4,1.3862943611198906,1.0
Cakóháza,6,2,0.6931471805599453,1.0
Cece,91,6,1.3296613488547582,0.4055
Cegléd,13,66,2.2077267929814055,0.2053
Ceglédbercel,84,10,2.0253262207700677,0.9825
Celldömölk,35,18,2.168155236015967,0.9176
Cered,109,2,0.6931471805599453,1.0
Chernelházadamonya,16,2,0.6931471805599453,1.0
Cibakháza,19,8,1.9061547465398496,0.9809
Cigánd,53,6,1.3296613488547582,0.4055
Cikó,96,2,0.6931471805599453,1.0
Cirák,47,2,0.6931471805599453,1.0
Csabacsűd,11,6,1.5607104090414063,0.8472
Csabaszabadi,42,2,0.6931471805599453,1.0
Csabdi,7,4,1.3862943611198906,1.0
Csabrendek,9,10,1.6434177197931799,0.2362
Csaholc,36,2,0.6931471805599453,1.0
Csajág,132,2,0.6931471805599453,1.0
Csanytelek,81,6,1.3296613488547582,0.4055
Csanádalberti,35,2,0.6931471805599453,1.0
Csanádapáca,182,4,1.0397207708399179,0.5047
Csanádpalota,101,6,1.7917594692280547,1.0
Csapi,28,2,0.6931471805599453,1.0
Csapod,56,2,0.6931471805599453,1.0
Csarnóta,15,2,0.6931471805599453,1.0
Csaroda,56,2,0.6931471805599453,1.0
Csataszög,31,2,0.6931471805599453,1.0
Csatka,22,2,0.6931471805599453,1.0
Csatár,101,2,0.6931471805599453,1.0
Csebény,10,2,0.6931471805599453,1.0
Csegöld,71,2,0.6931471805599453,1.0
Csehbánya,31,2,0.6931471805599453,1.0
Csehi,28,2,0.6931471805599453,1.0
Csehimindszent,33,2,0.6931471805599453,1.0
Csempeszkopács,20,2,0.6931471805599453,1.0
Csemő,144,6,1.329661348854758,0.2068
Csengele,78,4,1.0397207708399179,0.5047
Csenger,99,10,1.2798542258336676,0.0119
Csengersima,84,2,0.6931471805599453,1.0
Csengerújfalu,73,2,0.6931471805599453,1.0
Csengőd,95,4,1.3862943611198906,1.0
Csenyéte,0,2,0.6931471805599453,1.0
Csepreg,76,6,1.3296613488547582,0.4055
Cserdi,14,2,0.6931471805599453,1.0
Cserháthaláp,51,2,0.6931471805599453,1.0
Cserhátsurány,112,2,0.6931471805599453,1.0
Cserhátszentiván,13,2,0.6931471805599453,1.0
Cserkeszőlő,42,6,1.3296613488547582,0.4055
Cserkút,78,2,0.6931471805599453,1.0
Csernely,93,2,0.6931471805599453,1.0
Cserszegtomaj,153,4,1.3862943611198906,1.0
Csertalakos,6,2,0.6931471805599453,1.0
Csertő,33,2,0.6931471805599453,1.0
Cserénfa,38,2,0.6931471805599453,1.0
Cserépfalu,175,2,0.6931471805599453,1.0
Cserépváralja,79,2,0.6931471805599453,1.0
Csesznek,31,2,0.6931471805599453,1.0
Csesztreg,100,2,0.6931471805599453,1.0
Csesztve,32,2,0.6931471805599453,1.0
Csetény,116,4,1.3862943611198906,1.0
Csibrák,27,2,0.6931471805599453,1.0
Csikvánd,26,2,0.6931471805599453,1.0
Csikéria,80,2,0.6931471805599453,1.0
Csikóstőttős,90,2,0.6931471805599453,1.0
Csincse,105,2,0.6931471805599453,1.0
Csipkerek,25,2,0.6931471805599453,1.0
Csitár,51,2,0.0,0.1008
Csobaj,98,2,0.6931471805599453,1.0
Csobád,98,2,0.6931471805599453,1.0
Csobánka,60,6,1.3296613488547582,0.4055
Csokonyavisonta,98,4,1.3862943611198906,1.0
Csokvaomány,77,2,0.6931471805599453,1.0
Csolnok,99,6,1.242453324894,0.143
Csoma,67,2,0.6931471805599453,1.0
Csombárd,41,2,0.6931471805599453,1.0
Csomád,110,2,0.6931471805599453,1.0
Csongrád,61,32,2.257614211926605,0.977
Csonkahegyhát,65,2,0.6931471805599453,1.0
Csonkamindszent,21,2,0.6931471805599453,1.0
Csopak,61,4,1.0397207708399179,0.5047
Csorna,94,16,1.803719377768875,0.1205
Csorvás,95,10,1.6957425341696346,0.414
Csurgó,59,12,2.0947290475276485,0.9417
Csurgónagymarton,16,2,0.0,0.1008
Csáfordjánosfa,30,2,0.6931471805599453,1.0
Csákberény,152,2,0.6931471805599453,1.0
Csákvár,77,10,1.8866967846580784,0.827
Csákány,6,2,0.6931471805599453,1.0
Csákánydoroszló,53,4,1.3862943611198906,1.0
Csánig,49,2,0.6931471805599453,1.0
Csány,63,6,1.3296613488547582,0.4055
Csányoszró,76,2,0.6931471805599453,1.0
Csárdaszállás,44,2,0.6931471805599453,1.0
Császló,24,2,0.6931471805599453,1.0
Császár,66,4,1.3862943611198906,1.0
Császártöltés,66,6,1.5607104090414063,0.8472
Csátalja,73,4,1.3862943611198906,1.0
Csávoly,88,4,1.3862943611198906,1.0
Csécse,129,2,0.6931471805599453,1.0
Csém,39,2,0.6931471805599453,1.0
Csénye,63,2,0.6931471805599453,1.0
Csép,32,2,0.6931471805599453,1.0
Csépa,71,4,1.3862943611198906,1.0
Csér,3,2,0.6931471805599453,1.0
Csévharaszt,72,4,1.3862943611198906,1.0
Csókakő,160,2,0.0,0.1008
Csólyospálos,52,4,1.3862943611198906,1.0
Csór,86,4,1.0397207708399179,0.5047
Csót,104,2,0.6931471805599453,1.0
Csöde,10,2,0.6931471805599453,1.0
Csögle,55,2,0.6931471805599453,1.0
Csökmő,4,6,1.242453324894,0.143
Csököly,102,2,0.6931471805599453,1.0
Csömend,25,2,0.6931471805599453,1.0
Csömödér,97,2,0.6931471805599453,1.0
Csömör,81,14,2.1065773332321154,0.8998
Csönge,41,2,0.6931471805599453,1.0
Csörnyeföld,65,2,0.6931471805599453,1.0
Csörög,103,4,0.5623351446188083,0.0372
Csörötnek,63,2,0.0,0.1008
Csősz,166,2,0.6931471805599453,1.0
Csővár,99,2,0.0,0.1008
Cák,25,2,0.6931471805599453,1.0
Cégénydányád,59,2,0.6931471805599453,1.0
Cún,12,2,0.6931471805599453,1.0
Dabas,80,32,2.1578421107929637,0.4828
Dabronc,55,2,0.6931471805599453,1.0
Dabrony,60,2,0.6931471805599453,1.0
Dad,146,2,0.6931471805599453,1.0
Dalmand,32,4,1.0397207708399179,0.5047
Damak,48,2,0.6931471805599453,1.0
Daraboshegy,14,2,0.6931471805599453,1.0
Darnó,13,2,0.0,0.1008
Darnózseli,60,4,1.3862943611198906,1.0
Daruszentmiklós,23,6,1.329661348854758,0.2068
Darvas,73,2,0.0,0.1008
Darány,87,2,0.6931471805599453,1.0
Debercsény,18,2,0.6931471805599453,1.0
Debrecen,9,280,2.2973944466965137,0.9696
Debréte,1,2,0.6931471805599453,1.0
Decs,70,8,1.6674619334292948,0.502
Dejtár,128,2,0.6931471805599453,1.0
Demecser,23,10,1.6957425341696346,0.414
Demjén,80,2,0.6931471805599453,1.0
Dencsháza,31,2,0.0,0.1008
Derecske,35,16,1.9273921261392741,0.3667
Derekegyház,29,6,1.5607104090414063,0.8472
Deszk,63,8,1.6674619334292948,0.502
Detek,50,2,0.6931471805599453,1.0
Detk,162,2,0.6931471805599453,1.0
Devecser,157,8,1.7328679513998633,0.8178
Dinnyeberki,8,2,0.6931471805599453,1.0
Diósberény,15,2,0.6931471805599453,1.0
Diósd,47,16,1.803719377768875,0.1205
Diósjenő,74,6,1.242453324894,0.143
Dióskál,43,2,0.6931471805599453,1.0
Diósviszló,45,2,0.6931471805599453,1.0
Doba,52,2,0.6931471805599453,1.0
Doboz,60,10,1.6957425341696346,0.414
Dobri,37,2,0.6931471805599453,1.0
Dobronhegy,37,2,0.6931471805599453,1.0
Domaháza,84,2,0.6931471805599453,1.0
Domaszék,83,8,1.4941751382893085,0.2888
Dombegyház,64,6,1.5607104090414063,0.8472
Dombiratos,101,2,0.0,0.1008
Dombrád,180,6,1.5607104090414063,0.8472
Dombóvár,17,44,2.2218158524183518,0.6683
