Telepules,p_ld_Fidesz_twins_2014,n_wards_2014,min_Fidesz_votes_2014,p_ld_Fidesz_twins_2018,n_wards_2018,min_Fidesz_votes_2018,p_ld_Fidesz_twins_2019,n_wards_2019,min_Fidesz_votes_2019,p_last_2_regular,p_all_regular
Harsány,1.0,2,288,1.0,2,326,0.09999999999999998,2,198,0.09999999999999998,0.09999999999999998
Bakonyszombathely,1.0,2,111,0.09999999999999998,2,158,1.0,2,94,0.09999999999999998,0.09999999999999998
Hernádkak,1.0,2,35,1.0,2,47,0.09999999999999998,2,31,0.09999999999999998,0.09999999999999998
Szalánta,1.0,2,35,0.09999999999999998,2,56,1.0,2,37,0.09999999999999998,0.09999999999999998
Balatonszárszó,1.0,2,250,1.0,2,305,0.09999999999999998,2,216,0.09999999999999998,0.09999999999999998
Szelevény,1.0,2,58,0.09999999999999998,2,73,1.0,2,44,0.09999999999999998,0.09999999999999998
Nagykozár,1.0,2,185,1.0,2,227,0.09999999999999998,2,153,0.09999999999999998,0.09999999999999998
Látrány,1.0,2,136,0.09999999999999998,2,188,1.0,2,130,0.09999999999999998,0.09999999999999998
Mezőzombor,1.0,2,242,1.0,2,329,0.09999999999999998,2,175,0.09999999999999998,0.09999999999999998
Soponya,1.0,2,215,1.0,2,295,0.09999999999999998,2,153,0.09999999999999998,0.09999999999999998
Somogyzsitfa,1.0,2,31,1.0,2,49,0.09999999999999998,2,24,0.09999999999999998,0.09999999999999998
Novaj,1.0,2,143,0.09999999999999998,2,189,1.0,2,143,0.09999999999999998,0.09999999999999998
Somogyszob,1.0,2,180,1.0,2,190,0.09999999999999998,2,118,0.09999999999999998,0.09999999999999998
Abasár,1.0,2,196,0.09999999999999998,2,295,1.0,2,177,0.09999999999999998,0.09999999999999998
Abaújkér,1.0,2,23,0.09999999999999998,2,25,1.0,2,8,0.09999999999999998,0.09999999999999998
Nagyharsány,1.0,2,188,0.09999999999999998,2,209,1.0,2,119,0.09999999999999998,0.09999999999999998
Szomód,1.0,2,237,0.09999999999999998,2,284,1.0,2,191,0.09999999999999998,0.09999999999999998
Nagyhegyes,1.0,2,269,0.09999999999999998,2,386,1.0,2,212,0.09999999999999998,0.09999999999999998
Hidas,1.0,2,226,0.09999999999999998,2,252,1.0,2,217,0.09999999999999998,0.09999999999999998
Kamut,1.0,2,114,0.09999999999999998,2,141,1.0,2,84,0.09999999999999998,0.09999999999999998
Bercel,1.0,2,229,1.0,2,270,0.09999999999999998,2,216,0.09999999999999998,0.09999999999999998
Tolcsva,1.0,2,147,0.09999999999999998,2,146,1.0,2,131,0.09999999999999998,0.09999999999999998
Bükkösd,1.0,2,93,0.09999999999999998,2,121,1.0,2,73,0.09999999999999998,0.09999999999999998
Kisapostag,1.0,2,175,1.0,2,193,0.09999999999999998,2,142,0.09999999999999998,0.09999999999999998
Segesd,1.0,2,136,1.0,2,227,0.09999999999999998,2,91,0.09999999999999998,0.09999999999999998
Kemendollár,1.0,2,44,0.09999999999999998,2,55,1.0,2,34,0.09999999999999998,0.09999999999999998
Vasszécseny,1.0,2,131,1.0,2,178,0.09999999999999998,2,102,0.09999999999999998,0.09999999999999998
Tarpa,1.0,2,292,1.0,2,397,0.09999999999999998,2,266,0.09999999999999998,0.09999999999999998
Kocs,1.0,2,363,0.09999999999999998,2,434,1.0,2,290,0.09999999999999998,0.09999999999999998
Mesztegnyő,1.0,2,88,0.09999999999999998,2,149,1.0,2,106,0.09999999999999998,0.09999999999999998
Tarnalelesz,1.0,2,332,0.09999999999999998,2,338,1.0,2,182,0.09999999999999998,0.09999999999999998
Zsámbok,1.0,2,236,1.0,2,303,0.09999999999999998,2,199,0.09999999999999998,0.09999999999999998
Somberek,1.0,2,181,1.0,2,182,0.09999999999999998,2,171,0.09999999999999998,0.09999999999999998
